============================================================
   PITCH RESOURCE GANTT LOG — Thread activity over time
============================================================
Time (us)     Role          Player                    Event
172252        STRIKER       Jasprit Bumrah            RUN_END
173347        NON_STRIKER   Axar Patel                RUN_END
173449        BOWLER        Shaheen Afridi            BOWL_START
173451        BOWLER        Shaheen Afridi            BOWL_END
173455        STRIKER       Axar Patel                BAT_START
173465        FIELDER       Haris Rauf                CATCH
173467        STRIKER       Axar Patel                BAT_END
173467        STRIKER       Axar Patel                RUN_START
173469        NON_STRIKER   Jasprit Bumrah            RUN_START
175602        NON_STRIKER   Jasprit Bumrah            RUN_END
176721        STRIKER       Axar Patel                RUN_END
176823        BOWLER        Shaheen Afridi            BOWL_START
176850        BOWLER        Shaheen Afridi            BOWL_END
176865        STRIKER       Axar Patel                BAT_START
176886        FIELDER       Mohammad Rizwan           CATCH
176886        STRIKER       Axar Patel                BAT_END
176889        STRIKER       Axar Patel                RUN_START
176900        NON_STRIKER   Jasprit Bumrah            RUN_START
178203        NON_STRIKER   Jasprit Bumrah            RUN_END
179736        STRIKER       Axar Patel                RUN_END
179852        BOWLER        Naseem Shah               BOWL_START
179858        BOWLER        Naseem Shah               BOWL_END
179869        STRIKER       Jasprit Bumrah            BAT_START
179877        FIELDER       Shaheen Afridi            CATCH
179885        NON_STRIKER   Axar Patel                RUN_START
179877        STRIKER       Jasprit Bumrah            BAT_END
179890        STRIKER       Jasprit Bumrah            RUN_START
182493        NON_STRIKER   Axar Patel                RUN_END
183104        STRIKER       Jasprit Bumrah            RUN_END
183163        BOWLER        Naseem Shah               BOWL_START
183164        BOWLER        Naseem Shah               BOWL_END
183169        STRIKER       Jasprit Bumrah            BAT_START
183178        FIELDER       Babar Azam                CATCH
183182        STRIKER       Jasprit Bumrah            BAT_END
183183        STRIKER       Jasprit Bumrah            RUN_START
183189        NON_STRIKER   Axar Patel                RUN_START
186066        STRIKER       Jasprit Bumrah            RUN_END
186343        NON_STRIKER   Axar Patel                RUN_END
186406        BOWLER        Naseem Shah               BOWL_START
186407        BOWLER        Naseem Shah               BOWL_END
186418        STRIKER       Jasprit Bumrah            BAT_START
186438        FIELDER       Fakhar Zaman              CATCH
186441        NON_STRIKER   Axar Patel                RUN_START
186441        STRIKER       Jasprit Bumrah            BAT_END
186512        STRIKER       Jasprit Bumrah            RUN_START
187611        NON_STRIKER   Axar Patel                RUN_END
189461        STRIKER       Jasprit Bumrah            RUN_END
189524        BOWLER        Naseem Shah               BOWL_START
189527        BOWLER        Naseem Shah               BOWL_END
189534        STRIKER       Jasprit Bumrah            BAT_START
189554        STRIKER       Jasprit Bumrah            BAT_END
189555        STRIKER       Jasprit Bumrah            RUN_START
189558        FIELDER       Mohammad Rizwan           CATCH
189569        NON_STRIKER   Axar Patel                RUN_START
192848        NON_STRIKER   Axar Patel                RUN_END
193241        STRIKER       Jasprit Bumrah            RUN_END
193311        BOWLER        Naseem Shah               BOWL_START
193312        BOWLER        Naseem Shah               BOWL_END
193313        STRIKER       Jasprit Bumrah            BAT_START
193318        STRIKER       Jasprit Bumrah            BAT_END
193318        STRIKER       Jasprit Bumrah            RUN_START
193319        FIELDER       Haris Rauf                CATCH
193325        NON_STRIKER   Axar Patel                RUN_START
195976        NON_STRIKER   Axar Patel                RUN_END
196669        STRIKER       Jasprit Bumrah            RUN_END
197307        BOWLER        Hardik Pandya             BOWL_START
197312        BOWLER        Hardik Pandya             BOWL_END
197312        STRIKER       Mohammad Rizwan           BAT_START
197336        FIELDER       Mohammed Siraj            CATCH
197336        STRIKER       Mohammad Rizwan           BAT_END
197342        STRIKER       Mohammad Rizwan           RUN_START
197358        NON_STRIKER   Babar Azam                RUN_START
199359        NON_STRIKER   Babar Azam                RUN_END
200609        STRIKER       Mohammad Rizwan           RUN_END
200650        BOWLER        Hardik Pandya             BOWL_START
200651        BOWLER        Hardik Pandya             BOWL_END
200657        STRIKER       Mohammad Rizwan           BAT_START
200663        STRIKER       Mohammad Rizwan           BAT_END
200664        STRIKER       Mohammad Rizwan           RUN_START
200664        FIELDER       Suryakumar Yadav          CATCH
200675        NON_STRIKER   Babar Azam                RUN_START
203603        NON_STRIKER   Babar Azam                RUN_END
204253        STRIKER       Mohammad Rizwan           RUN_END
204340        BOWLER        Hardik Pandya             BOWL_START
204343        BOWLER        Hardik Pandya             BOWL_END
204347        STRIKER       Mohammad Rizwan           BAT_START
204353        FIELDER       Virat Kohli               CATCH
204359        NON_STRIKER   Babar Azam                RUN_START
204353        STRIKER       Mohammad Rizwan           BAT_END
204390        STRIKER       Mohammad Rizwan           RUN_START
205543        STRIKER       Mohammad Rizwan           RUN_END
206835        NON_STRIKER   Babar Azam                RUN_END
206888        BOWLER        Hardik Pandya             BOWL_START
206892        STRIKER       Mohammad Rizwan           BAT_START
206892        BOWLER        Hardik Pandya             BOWL_END
206900        FIELDER       Rishabh Pant              CATCH
206906        NON_STRIKER   Babar Azam                RUN_START
206898        STRIKER       Mohammad Rizwan           BAT_END
206909        STRIKER       Mohammad Rizwan           RUN_START
208846        STRIKER       Mohammad Rizwan           RUN_END
208912        NON_STRIKER   Babar Azam                RUN_END
208951        BOWLER        Hardik Pandya             BOWL_START
208955        BOWLER        Hardik Pandya             BOWL_END
208956        STRIKER       Mohammad Rizwan           BAT_START
208963        STRIKER       Mohammad Rizwan           BAT_END
208963        STRIKER       Mohammad Rizwan           RUN_START
208964        FIELDER       Axar Patel                CATCH
208969        NON_STRIKER   Babar Azam                RUN_START
210672        NON_STRIKER   Babar Azam                RUN_END
211183        STRIKER       Mohammad Rizwan           RUN_END
211411        BOWLER        Hardik Pandya             BOWL_START
211413        BOWLER        Hardik Pandya             BOWL_END
211415        STRIKER       Mohammad Rizwan           BAT_START
211421        STRIKER       Mohammad Rizwan           BAT_END
211421        STRIKER       Mohammad Rizwan           RUN_START
211423        FIELDER       Mohammed Siraj            CATCH
211428        NON_STRIKER   Babar Azam                RUN_START
213402        STRIKER       Mohammad Rizwan           RUN_END
214440        NON_STRIKER   Babar Azam                RUN_END
214631        BOWLER        Ravindra Jadeja           BOWL_START
214643        BOWLER        Ravindra Jadeja           BOWL_END
214652        STRIKER       Mohammad Rizwan           BAT_START
214675        FIELDER       Mohammed Siraj            CATCH
214724        NON_STRIKER   Babar Azam                RUN_START
214677        STRIKER       Mohammad Rizwan           BAT_END
214731        STRIKER       Mohammad Rizwan           RUN_START
216901        STRIKER       Mohammad Rizwan           RUN_END
217718        NON_STRIKER   Babar Azam                RUN_END
217817        BOWLER        Ravindra Jadeja           BOWL_START
217821        BOWLER        Ravindra Jadeja           BOWL_END
217822        STRIKER       Babar Azam                BAT_START
217838        STRIKER       Babar Azam                BAT_END
217839        STRIKER       Babar Azam                RUN_START
217839        FIELDER       Rishabh Pant              CATCH
217878        NON_STRIKER   Mohammad Rizwan           RUN_START
219711        NON_STRIKER   Mohammad Rizwan           RUN_END
221000        STRIKER       Babar Azam                RUN_END
221149        BOWLER        Ravindra Jadeja           BOWL_START
221149        BOWLER        Ravindra Jadeja           BOWL_END
221178        STRIKER       Babar Azam                BAT_START
221184        STRIKER       Babar Azam                BAT_END
221185        STRIKER       Babar Azam                RUN_START
221187        FIELDER       Rishabh Pant              CATCH
221224        NON_STRIKER   Mohammad Rizwan           RUN_START
223324        STRIKER       Babar Azam                RUN_END
224317        NON_STRIKER   Mohammad Rizwan           RUN_END
225141        BOWLER        Ravindra Jadeja           BOWL_START
225148        BOWLER        Ravindra Jadeja           BOWL_END
225159        STRIKER       Mohammad Rizwan           BAT_START
225201        STRIKER       Mohammad Rizwan           BAT_END
225202        STRIKER       Mohammad Rizwan           RUN_START
225208        FIELDER       Suryakumar Yadav          CATCH
225624        NON_STRIKER   Babar Azam                RUN_START
227518        STRIKER       Mohammad Rizwan           RUN_END
228967        NON_STRIKER   Babar Azam                RUN_END
230716        BOWLER        Ravindra Jadeja           BOWL_START
230796        BOWLER        Ravindra Jadeja           BOWL_END
230813        STRIKER       Babar Azam                BAT_START
230827        STRIKER       Babar Azam                BAT_END
230828        STRIKER       Babar Azam                RUN_START
230829        FIELDER       Suryakumar Yadav          CATCH
230858        NON_STRIKER   Mohammad Rizwan           RUN_START
233220        STRIKER       Babar Azam                RUN_END
233961        NON_STRIKER   Mohammad Rizwan           RUN_END
234620        BOWLER        Ravindra Jadeja           BOWL_START
234622        BOWLER        Ravindra Jadeja           BOWL_END
234634        STRIKER       Mohammad Rizwan           BAT_START
234637        STRIKER       Mohammad Rizwan           BAT_END
234638        STRIKER       Mohammad Rizwan           RUN_START
234640        FIELDER       Suryakumar Yadav          CATCH
234649        NON_STRIKER   Babar Azam                RUN_START
237223        NON_STRIKER   Babar Azam                RUN_END
237428        STRIKER       Mohammad Rizwan           RUN_END
237696        BOWLER        Axar Patel                BOWL_START
237697        BOWLER        Axar Patel                BOWL_END
237705        STRIKER       Babar Azam                BAT_START
237709        STRIKER       Babar Azam                BAT_END
237710        STRIKER       Babar Azam                RUN_START
237712        FIELDER       Rohit Sharma              CATCH
237719        NON_STRIKER   Mohammad Rizwan           RUN_START
240272        STRIKER       Babar Azam                RUN_END
240276        NON_STRIKER   Mohammad Rizwan           RUN_END
241104        BOWLER        Axar Patel                BOWL_START
241105        BOWLER        Axar Patel                BOWL_END
241116        STRIKER       Babar Azam                BAT_START
241118        STRIKER       Babar Azam                BAT_END
241119        STRIKER       Babar Azam                RUN_START
241120        NON_STRIKER   Mohammad Rizwan           RUN_START
241122        FIELDER       Kuldeep Yadav             CATCH
243070        NON_STRIKER   Mohammad Rizwan           RUN_END
243516        STRIKER       Babar Azam                RUN_END
244048        BOWLER        Axar Patel                BOWL_START
244050        BOWLER        Axar Patel                BOWL_END
244053        STRIKER       Babar Azam                BAT_START
244059        STRIKER       Babar Azam                BAT_END
244060        STRIKER       Babar Azam                RUN_START
244059        FIELDER       Kuldeep Yadav             CATCH
244089        NON_STRIKER   Mohammad Rizwan           RUN_START
247896        NON_STRIKER   Mohammad Rizwan           RUN_END
247896        STRIKER       Babar Azam                RUN_END
249449        BOWLER        Axar Patel                BOWL_START
249453        BOWLER        Axar Patel                BOWL_END
249533        STRIKER       Babar Azam                BAT_START
249585        STRIKER       Babar Azam                BAT_END
249588        STRIKER       Babar Azam                RUN_START
249692        FIELDER       Rohit Sharma              CATCH
249694        NON_STRIKER   Mohammad Rizwan           RUN_START
253117        NON_STRIKER   Mohammad Rizwan           RUN_END
253121        STRIKER       Babar Azam                RUN_END
253635        BOWLER        Axar Patel                BOWL_START
253637        BOWLER        Axar Patel                BOWL_END
253648        STRIKER       Fakhar Zaman              BAT_START
253656        STRIKER       Fakhar Zaman              BAT_END
253656        STRIKER       Fakhar Zaman              RUN_START
253657        FIELDER       Shubman Gill              CATCH
253662        NON_STRIKER   Mohammad Rizwan           RUN_START
256826        STRIKER       Fakhar Zaman              RUN_END
256831        NON_STRIKER   Mohammad Rizwan           RUN_END
268449        BOWLER        Axar Patel                BOWL_START
270577        BOWLER        Axar Patel                BOWL_END
270599        STRIKER       Fakhar Zaman              BAT_START
270610        STRIKER       Fakhar Zaman              BAT_END
270611        STRIKER       Fakhar Zaman              RUN_START
270611        FIELDER       Mohammed Siraj            CATCH
270621        NON_STRIKER   Mohammad Rizwan           RUN_START
272281        NON_STRIKER   Mohammad Rizwan           RUN_END
273726        STRIKER       Fakhar Zaman              RUN_END
273918        BOWLER        Kuldeep Yadav             BOWL_START
273920        BOWLER        Kuldeep Yadav             BOWL_END
273925        STRIKER       Mohammad Rizwan           BAT_START
273931        STRIKER       Mohammad Rizwan           BAT_END
273931        STRIKER       Mohammad Rizwan           RUN_START
273934        FIELDER       Jasprit Bumrah            CATCH
273947        NON_STRIKER   Iftikhar Ahmed            RUN_START
275731        STRIKER       Mohammad Rizwan           RUN_END
275859        NON_STRIKER   Iftikhar Ahmed            RUN_END
275914        BOWLER        Kuldeep Yadav             BOWL_START
275916        BOWLER        Kuldeep Yadav             BOWL_END
275948        STRIKER       Mohammad Rizwan           BAT_START
275964        STRIKER       Mohammad Rizwan           BAT_END
275967        STRIKER       Mohammad Rizwan           RUN_START
275965        FIELDER       Rishabh Pant              CATCH
275983        NON_STRIKER   Iftikhar Ahmed            RUN_START
278862        NON_STRIKER   Iftikhar Ahmed            RUN_END
279377        STRIKER       Mohammad Rizwan           RUN_END
279435        BOWLER        Kuldeep Yadav             BOWL_START
279437        BOWLER        Kuldeep Yadav             BOWL_END
279440        STRIKER       Mohammad Rizwan           BAT_START
279446        STRIKER       Mohammad Rizwan           BAT_END
279447        STRIKER       Mohammad Rizwan           RUN_START
279446        FIELDER       Axar Patel                CATCH
279475        NON_STRIKER   Iftikhar Ahmed            RUN_START
280774        NON_STRIKER   Iftikhar Ahmed            RUN_END
281935        STRIKER       Mohammad Rizwan           RUN_END
281980        BOWLER        Kuldeep Yadav             BOWL_START
281981        BOWLER        Kuldeep Yadav             BOWL_END
281982        STRIKER       Iftikhar Ahmed            BAT_START
281987        FIELDER       Rishabh Pant              CATCH
282004        STRIKER       Iftikhar Ahmed            BAT_END
282005        STRIKER       Iftikhar Ahmed            RUN_START
282015        NON_STRIKER   Mohammad Rizwan           RUN_START
283998        STRIKER       Iftikhar Ahmed            RUN_END
284637        NON_STRIKER   Mohammad Rizwan           RUN_END
284682        BOWLER        Kuldeep Yadav             BOWL_START
284683        BOWLER        Kuldeep Yadav             BOWL_END
284687        STRIKER       Iftikhar Ahmed            BAT_START
284698        STRIKER       Iftikhar Ahmed            BAT_END
284698        STRIKER       Iftikhar Ahmed            RUN_START
284701        NON_STRIKER   Mohammad Rizwan           RUN_START
284702        FIELDER       Rishabh Pant              CATCH
286370        NON_STRIKER   Mohammad Rizwan           RUN_END
289176        STRIKER       Iftikhar Ahmed            RUN_END
289511        BOWLER        Kuldeep Yadav             BOWL_START
289513        BOWLER        Kuldeep Yadav             BOWL_END
289519        STRIKER       Shadab Khan               BAT_START
289521        STRIKER       Shadab Khan               BAT_END
289521        STRIKER       Shadab Khan               RUN_START
289524        FIELDER       Axar Patel                CATCH
289543        NON_STRIKER   Mohammad Rizwan           RUN_START
291562        NON_STRIKER   Mohammad Rizwan           RUN_END
292475        STRIKER       Shadab Khan               RUN_END
292608        BOWLER        Mohammed Siraj            BOWL_START
292609        BOWLER        Mohammed Siraj            BOWL_END
292609        STRIKER       Shadab Khan               BAT_START
292620        FIELDER       Suryakumar Yadav          CATCH
292622        NON_STRIKER   Mohammad Rizwan           RUN_START
292620        STRIKER       Shadab Khan               BAT_END
292628        STRIKER       Shadab Khan               RUN_START
294267        NON_STRIKER   Mohammad Rizwan           RUN_END
295719        STRIKER       Shadab Khan               RUN_END
295785        BOWLER        Mohammed Siraj            BOWL_START
295789        BOWLER        Mohammed Siraj            BOWL_END
295790        STRIKER       Shadab Khan               BAT_START
295796        STRIKER       Shadab Khan               BAT_END
295797        FIELDER       Ravindra Jadeja           CATCH
295797        STRIKER       Shadab Khan               RUN_START
295805        NON_STRIKER   Mohammad Rizwan           RUN_START
295827        DEADLOCK      Mohammad Rizwan           RUNOUT
295833        STRIKER       Shadab Khan               RUN_END
295836        NON_STRIKER   Mohammad Rizwan           RUN_END
295884        BOWLER        Mohammed Siraj            BOWL_START
295887        BOWLER        Mohammed Siraj            BOWL_END
295888        STRIKER       Shadab Khan               BAT_START
295927        FIELDER       Axar Patel                CATCH
295929        STRIKER       Shadab Khan               BAT_END
295929        NON_STRIKER   Azam Khan                 RUN_START
295929        STRIKER       Shadab Khan               RUN_START
297886        NON_STRIKER   Azam Khan                 RUN_END
298890        STRIKER       Shadab Khan               RUN_END
298948        BOWLER        Mohammed Siraj            BOWL_START
298995        BOWLER        Mohammed Siraj            BOWL_END
298998        STRIKER       Shadab Khan               BAT_START
299007        STRIKER       Shadab Khan               BAT_END
299009        STRIKER       Shadab Khan               RUN_START
299008        FIELDER       Axar Patel                CATCH
299024        NON_STRIKER   Azam Khan                 RUN_START
301153        STRIKER       Shadab Khan               RUN_END
301949        NON_STRIKER   Azam Khan                 RUN_END
302025        BOWLER        Mohammed Siraj            BOWL_START
302026        BOWLER        Mohammed Siraj            BOWL_END
302027        STRIKER       Azam Khan                 BAT_START
302032        STRIKER       Azam Khan                 BAT_END
302033        STRIKER       Azam Khan                 RUN_START
302033        FIELDER       Axar Patel                CATCH
302037        NON_STRIKER   Shadab Khan               RUN_START
303637        NON_STRIKER   Shadab Khan               RUN_END
303638        STRIKER       Azam Khan                 RUN_END
303719        BOWLER        Mohammed Siraj            BOWL_START
303720        BOWLER        Mohammed Siraj            BOWL_END
303721        STRIKER       Shadab Khan               BAT_START
303725        STRIKER       Shadab Khan               BAT_END
303729        STRIKER       Shadab Khan               RUN_START
303725        FIELDER       Axar Patel                CATCH
303739        NON_STRIKER   Azam Khan                 RUN_START
306598        STRIKER       Shadab Khan               RUN_END
307338        NON_STRIKER   Azam Khan                 RUN_END
307472        BOWLER        Jasprit Bumrah            BOWL_START
307473        BOWLER        Jasprit Bumrah            BOWL_END
307474        STRIKER       Azam Khan                 BAT_START
307478        FIELDER       Ravindra Jadeja           CATCH
307485        NON_STRIKER   Shadab Khan               RUN_START
307479        STRIKER       Azam Khan                 BAT_END
307488        STRIKER       Azam Khan                 RUN_START
309237        STRIKER       Azam Khan                 RUN_END
310058        NON_STRIKER   Shadab Khan               RUN_END
310144        BOWLER        Jasprit Bumrah            BOWL_START
310145        BOWLER        Jasprit Bumrah            BOWL_END
310151        STRIKER       Azam Khan                 BAT_START
310157        STRIKER       Azam Khan                 BAT_END
310157        STRIKER       Azam Khan                 RUN_START
310157        FIELDER       Suryakumar Yadav          CATCH
310174        NON_STRIKER   Shadab Khan               RUN_START
313049        STRIKER       Azam Khan                 RUN_END
313117        NON_STRIKER   Shadab Khan               RUN_END
313193        BOWLER        Jasprit Bumrah            BOWL_START
313195        BOWLER        Jasprit Bumrah            BOWL_END
313197        STRIKER       Shadab Khan               BAT_START
313205        FIELDER       Virat Kohli               CATCH
313207        NON_STRIKER   Azam Khan                 RUN_START
313206        STRIKER       Shadab Khan               BAT_END
313213        STRIKER       Shadab Khan               RUN_START
315471        NON_STRIKER   Azam Khan                 RUN_END
315872        STRIKER       Shadab Khan               RUN_END
315913        BOWLER        Jasprit Bumrah            BOWL_START
315913        BOWLER        Jasprit Bumrah            BOWL_END
315915        STRIKER       Shadab Khan               BAT_START
315923        STRIKER       Shadab Khan               BAT_END
315924        STRIKER       Shadab Khan               RUN_START
315924        FIELDER       Mohammed Siraj            CATCH
316002        NON_STRIKER   Azam Khan                 RUN_START
318653        NON_STRIKER   Azam Khan                 RUN_END
318726        STRIKER       Shadab Khan               RUN_END
318857        BOWLER        Jasprit Bumrah            BOWL_START
318865        BOWLER        Jasprit Bumrah            BOWL_END
318868        STRIKER       Imad Wasim                BAT_START
318874        FIELDER       Virat Kohli               CATCH
318881        STRIKER       Imad Wasim                BAT_END
318881        STRIKER       Imad Wasim                RUN_START
318903        NON_STRIKER   Azam Khan                 RUN_START
320162        STRIKER       Imad Wasim                RUN_END
321892        NON_STRIKER   Azam Khan                 RUN_END
322002        BOWLER        Jasprit Bumrah            BOWL_START
322023        STRIKER       Mohammad Wasim Jr.        BAT_START
322024        BOWLER        Jasprit Bumrah            BOWL_END
322032        STRIKER       Mohammad Wasim Jr.        BAT_END
322032        STRIKER       Mohammad Wasim Jr.        RUN_START
322034        FIELDER       Virat Kohli               CATCH
322053        NON_STRIKER   Azam Khan                 RUN_START
323457        STRIKER       Mohammad Wasim Jr.        RUN_END
323771        NON_STRIKER   Azam Khan                 RUN_END
323858        BOWLER        Hardik Pandya             BOWL_START
323871        BOWLER        Hardik Pandya             BOWL_END
323873        STRIKER       Azam Khan                 BAT_START
323885        STRIKER       Azam Khan                 BAT_END
323886        STRIKER       Azam Khan                 RUN_START
323888        FIELDER       Ravindra Jadeja           CATCH
323893        NON_STRIKER   Mohammad Wasim Jr.        RUN_START
326538        NON_STRIKER   Mohammad Wasim Jr.        RUN_END
327395        STRIKER       Azam Khan                 RUN_END
327476        BOWLER        Hardik Pandya             BOWL_START
327477        BOWLER        Hardik Pandya             BOWL_END
327479        STRIKER       Mohammad Wasim Jr.        BAT_START
327485        STRIKER       Mohammad Wasim Jr.        BAT_END
327485        STRIKER       Mohammad Wasim Jr.        RUN_START
327486        FIELDER       Mohammed Siraj            CATCH
327487        NON_STRIKER   Azam Khan                 RUN_START
330296        STRIKER       Mohammad Wasim Jr.        RUN_END
331050        NON_STRIKER   Azam Khan                 RUN_END
331142        BOWLER        Hardik Pandya             BOWL_START
331142        BOWLER        Hardik Pandya             BOWL_END
331150        STRIKER       Mohammad Wasim Jr.        BAT_START
331162        FIELDER       Mohammed Siraj            CATCH
331164        STRIKER       Mohammad Wasim Jr.        BAT_END
331165        STRIKER       Mohammad Wasim Jr.        RUN_START
331168        NON_STRIKER   Azam Khan                 RUN_START
332825        NON_STRIKER   Azam Khan                 RUN_END
333995        STRIKER       Mohammad Wasim Jr.        RUN_END
334083        BOWLER        Hardik Pandya             BOWL_START
334084        BOWLER        Hardik Pandya             BOWL_END
334087        STRIKER       Mohammad Wasim Jr.        BAT_START
334092        FIELDER       Virat Kohli               CATCH
334094        STRIKER       Mohammad Wasim Jr.        BAT_END
334095        STRIKER       Mohammad Wasim Jr.        RUN_START
334101        NON_STRIKER   Azam Khan                 RUN_START
335386        STRIKER       Mohammad Wasim Jr.        RUN_END
335724        NON_STRIKER   Azam Khan                 RUN_END
335805        BOWLER        Hardik Pandya             BOWL_START
335805        BOWLER        Hardik Pandya             BOWL_END
335806        STRIKER       Mohammad Wasim Jr.        BAT_START
335811        STRIKER       Mohammad Wasim Jr.        BAT_END
335812        STRIKER       Mohammad Wasim Jr.        RUN_START
335812        FIELDER       Virat Kohli               CATCH
335813        NON_STRIKER   Azam Khan                 RUN_START
337502        NON_STRIKER   Azam Khan                 RUN_END
337866        STRIKER       Mohammad Wasim Jr.        RUN_END
337923        BOWLER        Hardik Pandya             BOWL_START
337944        BOWLER        Hardik Pandya             BOWL_END
337949        STRIKER       Mohammad Wasim Jr.        BAT_START
337964        NON_STRIKER   Azam Khan                 RUN_START
337964        STRIKER       Mohammad Wasim Jr.        BAT_END
337972        STRIKER       Mohammad Wasim Jr.        RUN_START
337964        FIELDER       Rishabh Pant              CATCH
341357        STRIKER       Mohammad Wasim Jr.        RUN_END
341599        NON_STRIKER   Azam Khan                 RUN_END
341679        BOWLER        Ravindra Jadeja           BOWL_START
341683        BOWLER        Ravindra Jadeja           BOWL_END
341685        STRIKER       Azam Khan                 BAT_START
341700        STRIKER       Azam Khan                 BAT_END
341701        STRIKER       Azam Khan                 RUN_START
341702        FIELDER       Rohit Sharma              CATCH
341707        NON_STRIKER   Mohammad Wasim Jr.        RUN_START
342939        NON_STRIKER   Mohammad Wasim Jr.        RUN_END
343361        STRIKER       Azam Khan                 RUN_END
343428        BOWLER        Ravindra Jadeja           BOWL_START
343429        BOWLER        Ravindra Jadeja           BOWL_END
343431        STRIKER       Mohammad Wasim Jr.        BAT_START
343445        STRIKER       Mohammad Wasim Jr.        BAT_END
343445        STRIKER       Mohammad Wasim Jr.        RUN_START
343446        FIELDER       Rohit Sharma              CATCH
343448        NON_STRIKER   Azam Khan                 RUN_START
345019        STRIKER       Mohammad Wasim Jr.        RUN_END
345744        NON_STRIKER   Azam Khan                 RUN_END
345817        BOWLER        Ravindra Jadeja           BOWL_START
345818        BOWLER        Ravindra Jadeja           BOWL_END
345819        STRIKER       Azam Khan                 BAT_START
345824        STRIKER       Azam Khan                 BAT_END
345824        FIELDER       Suryakumar Yadav          CATCH
345824        STRIKER       Azam Khan                 RUN_START
345833        NON_STRIKER   Mohammad Wasim Jr.        RUN_START
347780        NON_STRIKER   Mohammad Wasim Jr.        RUN_END
348186        STRIKER       Azam Khan                 RUN_END
348236        BOWLER        Ravindra Jadeja           BOWL_START
348237        BOWLER        Ravindra Jadeja           BOWL_END
348239        STRIKER       Azam Khan                 BAT_START
348242        STRIKER       Azam Khan                 BAT_END
348242        STRIKER       Azam Khan                 RUN_START
348245        NON_STRIKER   Mohammad Wasim Jr.        RUN_START
348258        FIELDER       Mohammed Siraj            CATCH
349822        NON_STRIKER   Mohammad Wasim Jr.        RUN_END
351487        STRIKER       Azam Khan                 RUN_END
351562        BOWLER        Ravindra Jadeja           BOWL_START
351563        BOWLER        Ravindra Jadeja           BOWL_END
351564        STRIKER       Azam Khan                 BAT_START
351569        STRIKER       Azam Khan                 BAT_END
351569        STRIKER       Azam Khan                 RUN_START
351570        FIELDER       Jasprit Bumrah            CATCH
351571        NON_STRIKER   Mohammad Wasim Jr.        RUN_START
354216        NON_STRIKER   Mohammad Wasim Jr.        RUN_END
354945        STRIKER       Azam Khan                 RUN_END
355013        BOWLER        Ravindra Jadeja           BOWL_START
355014        BOWLER        Ravindra Jadeja           BOWL_END
355017        STRIKER       Azam Khan                 BAT_START
355026        STRIKER       Azam Khan                 BAT_END
355027        STRIKER       Azam Khan                 RUN_START
355037        NON_STRIKER   Mohammad Wasim Jr.        RUN_START
355038        FIELDER       Mohammed Siraj            CATCH
356592        NON_STRIKER   Mohammad Wasim Jr.        RUN_END
357429        STRIKER       Azam Khan                 RUN_END
357509        BOWLER        Axar Patel                BOWL_START
357527        BOWLER        Axar Patel                BOWL_END
357532        STRIKER       Azam Khan                 BAT_START
357552        FIELDER       Ravindra Jadeja           CATCH
357553        STRIKER       Azam Khan                 BAT_END
357554        STRIKER       Azam Khan                 RUN_START
357562        NON_STRIKER   Mohammad Wasim Jr.        RUN_START
358894        STRIKER       Azam Khan                 RUN_END
359368        NON_STRIKER   Mohammad Wasim Jr.        RUN_END
359446        BOWLER        Axar Patel                BOWL_START
359446        BOWLER        Axar Patel                BOWL_END
359450        STRIKER       Mohammad Wasim Jr.        BAT_START
359457        STRIKER       Mohammad Wasim Jr.        BAT_END
359458        STRIKER       Mohammad Wasim Jr.        RUN_START
359459        FIELDER       Jasprit Bumrah            CATCH
359462        NON_STRIKER   Azam Khan                 RUN_START
361025        STRIKER       Mohammad Wasim Jr.        RUN_END
362620        NON_STRIKER   Azam Khan                 RUN_END
362692        BOWLER        Axar Patel                BOWL_START
362692        BOWLER        Axar Patel                BOWL_END
362694        STRIKER       Azam Khan                 BAT_START
362699        FIELDER       Jasprit Bumrah            CATCH
362699        STRIKER       Azam Khan                 BAT_END
362700        STRIKER       Azam Khan                 RUN_START
362701        NON_STRIKER   Mohammad Wasim Jr.        RUN_START
364465        STRIKER       Azam Khan                 RUN_END
365349        NON_STRIKER   Mohammad Wasim Jr.        RUN_END
365404        BOWLER        Axar Patel                BOWL_START
365405        BOWLER        Axar Patel                BOWL_END
365407        STRIKER       Azam Khan                 BAT_START
365410        STRIKER       Azam Khan                 BAT_END
365411        STRIKER       Azam Khan                 RUN_START
365413        FIELDER       Hardik Pandya             CATCH
365420        NON_STRIKER   Mohammad Wasim Jr.        RUN_START
367168        STRIKER       Azam Khan                 RUN_END
368719        NON_STRIKER   Mohammad Wasim Jr.        RUN_END
368774        BOWLER        Axar Patel                BOWL_START
368775        BOWLER        Axar Patel                BOWL_END
368778        STRIKER       Azam Khan                 BAT_START
368783        STRIKER       Azam Khan                 BAT_END
368784        FIELDER       Ravindra Jadeja           CATCH
368787        STRIKER       Azam Khan                 RUN_START
368792        NON_STRIKER   Mohammad Wasim Jr.        RUN_START
370109        STRIKER       Azam Khan                 RUN_END
372421        NON_STRIKER   Mohammad Wasim Jr.        RUN_END
372476        BOWLER        Axar Patel                BOWL_START
372478        BOWLER        Axar Patel                BOWL_END
372505        STRIKER       Shaheen Afridi            BAT_START
372524        STRIKER       Shaheen Afridi            BAT_END
372525        STRIKER       Shaheen Afridi            RUN_START
