============================================================
   PITCH RESOURCE GANTT LOG — Thread activity over time
============================================================
Time (us)     Role          Player                    Event
39359         STRIKER       Suryakumar Yadav          RUN_END
39454         BOWLER        Mohammad Wasim Jr.        BOWL_START
39456         BOWLER        Mohammad Wasim Jr.        BOWL_END
39462         STRIKER       Shubman Gill              BAT_START
39473         FIELDER       Shadab Khan               CATCH
39475         STRIKER       Shubman Gill              BAT_END
39476         STRIKER       Shubman Gill              RUN_START
39485         NON_STRIKER   Suryakumar Yadav          RUN_START
41186         STRIKER       Shubman Gill              RUN_END
41723         NON_STRIKER   Suryakumar Yadav          RUN_END
41809         BOWLER        Mohammad Wasim Jr.        BOWL_START
41810         BOWLER        Mohammad Wasim Jr.        BOWL_END
41811         STRIKER       Shubman Gill              BAT_START
41819         STRIKER       Shubman Gill              BAT_END
41820         STRIKER       Shubman Gill              RUN_START
41820         FIELDER       Shadab Khan               CATCH
41819         NON_STRIKER   Suryakumar Yadav          RUN_START
43611         STRIKER       Shubman Gill              RUN_END
44139         NON_STRIKER   Suryakumar Yadav          RUN_END
44233         BOWLER        Mohammad Wasim Jr.        BOWL_START
44234         BOWLER        Mohammad Wasim Jr.        BOWL_END
44240         STRIKER       Shubman Gill              BAT_START
44249         STRIKER       Shubman Gill              BAT_END
44253         STRIKER       Shubman Gill              RUN_START
44250         FIELDER       Fakhar Zaman              CATCH
44280         NON_STRIKER   Suryakumar Yadav          RUN_START
45767         NON_STRIKER   Suryakumar Yadav          RUN_END
46296         STRIKER       Shubman Gill              RUN_END
46383         BOWLER        Mohammad Wasim Jr.        BOWL_START
46384         BOWLER        Mohammad Wasim Jr.        BOWL_END
46386         STRIKER       Shubman Gill              BAT_START
46393         FIELDER       Shadab Khan               CATCH
46394         STRIKER       Shubman Gill              BAT_END
46396         STRIKER       Shubman Gill              RUN_START
46396         NON_STRIKER   Suryakumar Yadav          RUN_START
49476         STRIKER       Shubman Gill              RUN_END
49526         NON_STRIKER   Suryakumar Yadav          RUN_END
49654         BOWLER        Mohammad Wasim Jr.        BOWL_START
49658         BOWLER        Mohammad Wasim Jr.        BOWL_END
49665         STRIKER       Rishabh Pant              BAT_START
49677         FIELDER       Mohammad Rizwan           CATCH
49677         STRIKER       Rishabh Pant              BAT_END
49685         STRIKER       Rishabh Pant              RUN_START
49686         NON_STRIKER   Suryakumar Yadav          RUN_START
52308         NON_STRIKER   Suryakumar Yadav          RUN_END
52487         STRIKER       Rishabh Pant              RUN_END
52553         BOWLER        Shaheen Afridi            BOWL_START
52554         BOWLER        Shaheen Afridi            BOWL_END
52559         STRIKER       Suryakumar Yadav          BAT_START
52567         STRIKER       Suryakumar Yadav          BAT_END
52568         STRIKER       Suryakumar Yadav          RUN_START
